Port,Service,Status,Risk Level
2,Unknown Service,CLOSED,UNKNOWN
11,Unknown Service,CLOSED,UNKNOWN
7,Unknown Service,CLOSED,UNKNOWN
3,Unknown Service,CLOSED,UNKNOWN
9,Unknown Service,CLOSED,UNKNOWN
4,Unknown Service,CLOSED,UNKNOWN
12,Unknown Service,CLOSED,UNKNOWN
6,Unknown Service,CLOSED,UNKNOWN
5,Unknown Service,CLOSED,UNKNOWN
15,Unknown Service,CLOSED,UNKNOWN
10,Unknown Service,CLOSED,UNKNOWN
1,Unknown Service,CLOSED,UNKNOWN
8,Unknown Service,CLOSED,UNKNOWN
14,Unknown Service,CLOSED,UNKNOWN
13,Unknown Service,CLOSED,UNKNOWN
22,SSH,CLOSED,MEDIUM
25,SMTP,CLOSED,MEDIUM
23,Telnet,CLOSED,HIGH
16,Unknown Service,CLOSED,UNKNOWN
24,Unknown Service,CLOSED,UNKNOWN
30,Unknown Service,CLOSED,UNKNOWN
34,Unknown Service,CLOSED,UNKNOWN
38,Unknown Service,CLOSED,UNKNOWN
36,Unknown Service,CLOSED,UNKNOWN
17,Unknown Service,CLOSED,UNKNOWN
29,Unknown Service,CLOSED,UNKNOWN
31,Unknown Service,CLOSED,UNKNOWN
35,Unknown Service,CLOSED,UNKNOWN
27,Unknown Service,CLOSED,UNKNOWN
37,Unknown Service,CLOSED,UNKNOWN
20,FTP Data,CLOSED,UNKNOWN
39,Unknown Service,CLOSED,UNKNOWN
18,Unknown Service,CLOSED,UNKNOWN
26,Unknown Service,CLOSED,UNKNOWN
33,Unknown Service,CLOSED,UNKNOWN
28,Unknown Service,CLOSED,UNKNOWN
21,FTP,CLOSED,HIGH
19,Unknown Service,CLOSED,UNKNOWN
32,Unknown Service,CLOSED,UNKNOWN
137,NetBIOS,CLOSED,UNKNOWN
135,RPC,OPEN,HIGH
139,SMB,OPEN,HIGH
45,Unknown Service,CLOSED,UNKNOWN
41,Unknown Service,CLOSED,UNKNOWN
53,DNS,CLOSED,MEDIUM
48,Unknown Service,CLOSED,UNKNOWN
47,Unknown Service,CLOSED,UNKNOWN
43,Unknown Service,CLOSED,UNKNOWN
57,Unknown Service,CLOSED,UNKNOWN
52,Unknown Service,CLOSED,UNKNOWN
44,Unknown Service,CLOSED,UNKNOWN
55,Unknown Service,CLOSED,UNKNOWN
58,Unknown Service,CLOSED,UNKNOWN
50,Unknown Service,CLOSED,UNKNOWN
60,Unknown Service,CLOSED,UNKNOWN
40,Unknown Service,CLOSED,UNKNOWN
59,Unknown Service,CLOSED,UNKNOWN
51,Unknown Service,CLOSED,UNKNOWN
42,Unknown Service,CLOSED,UNKNOWN
46,Unknown Service,CLOSED,UNKNOWN
49,Unknown Service,CLOSED,UNKNOWN
56,Unknown Service,CLOSED,UNKNOWN
54,Unknown Service,CLOSED,UNKNOWN
65,Unknown Service,CLOSED,UNKNOWN
62,Unknown Service,CLOSED,UNKNOWN
63,Unknown Service,CLOSED,UNKNOWN
64,Unknown Service,CLOSED,UNKNOWN
61,Unknown Service,CLOSED,UNKNOWN
73,Unknown Service,CLOSED,UNKNOWN
78,Unknown Service,CLOSED,UNKNOWN
68,DHCP,CLOSED,UNKNOWN
72,Unknown Service,CLOSED,UNKNOWN
69,TFTP,CLOSED,UNKNOWN
75,Unknown Service,CLOSED,UNKNOWN
74,Unknown Service,CLOSED,UNKNOWN
79,Unknown Service,CLOSED,UNKNOWN
86,Unknown Service,CLOSED,UNKNOWN
83,Unknown Service,CLOSED,UNKNOWN
81,Unknown Service,CLOSED,UNKNOWN
88,Unknown Service,CLOSED,UNKNOWN
85,Unknown Service,CLOSED,UNKNOWN
82,Unknown Service,CLOSED,UNKNOWN
66,Unknown Service,CLOSED,UNKNOWN
70,Unknown Service,CLOSED,UNKNOWN
87,Unknown Service,CLOSED,UNKNOWN
76,Unknown Service,CLOSED,UNKNOWN
67,DHCP,CLOSED,UNKNOWN
84,Unknown Service,CLOSED,UNKNOWN
77,Unknown Service,CLOSED,UNKNOWN
71,Unknown Service,CLOSED,UNKNOWN
80,HTTP,CLOSED,MEDIUM
89,Unknown Service,CLOSED,UNKNOWN
92,Unknown Service,CLOSED,UNKNOWN
93,Unknown Service,CLOSED,UNKNOWN
94,Unknown Service,CLOSED,UNKNOWN
91,Unknown Service,CLOSED,UNKNOWN
95,Unknown Service,CLOSED,UNKNOWN
96,Unknown Service,CLOSED,UNKNOWN
98,Unknown Service,CLOSED,UNKNOWN
